Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A Novel Deep Learning Approach Toward Efficient and Accurate Recommendation Using Improved Alternating Least Squares in Social Media,Journal of The Institution of Engineers (India): Series B,,105,3,10.1007/s40031-024-00999-z,Sanjeev DhawanKulvinder SinghAmit BatraAnthony ChoiEthan Choi,2024,http://link.springer.com/article/10.1007/s40031-024-00999-z,Article
Hypergraph projection enhanced collaborative filtering,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00508-x,Yuan XiangyiMeng ChangZhang HengyuLiu Yongsheng,2024,http://link.springer.com/article/10.1007/s41060-024-00508-x,Article
An integrated network embedding with reinforcement learning for explainable recommendation,Soft Computing,,26,8,10.1007/s00500-022-06843-0,Tham Vo,2022,http://link.springer.com/article/10.1007/s00500-022-06843-0,Article
Multi-level preference regression for cold-start recommendations,International Journal of Machine Learning and Cybernetics,,9,7,10.1007/s13042-017-0635-2,Furong PengXuan LuChao MaYuhua QianJianfeng LuJingyu Yang,2018,http://link.springer.com/article/10.1007/s13042-017-0635-2,Article
Identification of tweets that mention books,International Journal on Digital Libraries,,21,3,10.1007/s00799-019-00273-4,Shuntaro YadaKyo KageuraCecile Paris,2020,http://link.springer.com/article/10.1007/s00799-019-00273-4,Article
Algorithmic fairness datasets: the story so far,Data Mining and Knowledge Discovery,,36,6,10.1007/s10618-022-00854-z,Alessandro FabrisStefano MessinaGianmaria SilvelloGian Antonio Susto,2022,http://link.springer.com/article/10.1007/s10618-022-00854-z,Article
Sentiment-aware drug recommendations with a focus on symptom-condition mapping,International Journal of Information Technology,,16,8,10.1007/s41870-024-02091-7,E. AnbazhaganE. SophiyaR. Prasanna Kumar,2024,http://link.springer.com/article/10.1007/s41870-024-02091-7,Article
Feature-Based Opinion Mining Approach (FOMA) for Improved Book Recommendation,Arabian Journal for Science and Engineering,,43,12,10.1007/s13369-018-3282-3,Shahab Saquib SohailJamshed SiddiquiRashid Ali,2018,http://link.springer.com/article/10.1007/s13369-018-3282-3,Article
Fusion of single-domain contrastive embedding and cross-domain graph collaborative filtering network for recommendation systems,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00557-2,Zhenzhen HuangDongqing ZhuShuo Xiao,2024,http://link.springer.com/article/10.1007/s41060-024-00557-2,Article
A systematic review of fairness in machine learning,AI and Ethics,,,,10.1007/s43681-024-00577-5,Ricardo Trainotti RabonatoLilian Berton,2024,http://link.springer.com/article/10.1007/s43681-024-00577-5,Article
